question,query
Get the payment_method from payments along with matching department_id from employees.,"SELECT payments.payment_method, employees.department_id FROM payments JOIN employees ON payments.id = employees.id;"
Show all stock values from the products table.,SELECT stock FROM products;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get all rows from payments where payment_date is greater than the average.,SELECT * FROM payments WHERE payment_date > (SELECT AVG(payment_date) FROM payments);
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Show all name values from the employees table.,SELECT name FROM employees;
Show all id values from the orders table.,SELECT id FROM orders;
Show all title values from the courses table.,SELECT title FROM courses;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all name values from the students table.,SELECT name FROM students;
Show all category values from the products table.,SELECT category FROM products;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all name values from the students table.,SELECT name FROM students;
Show all location values from the departments table.,SELECT location FROM departments;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get all rows from customers where id is greater than the average.,SELECT * FROM customers WHERE id > (SELECT AVG(id) FROM customers);
Show all id values from the payments table.,SELECT id FROM payments;
Get the salary from employees along with matching major from students.,"SELECT employees.salary, students.major FROM employees JOIN students ON employees.id = students.id;"
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all email values from the customers table.,SELECT email FROM customers;
Get the order_date from orders along with matching name from students.,"SELECT orders.order_date, students.name FROM orders JOIN students ON orders.id = students.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get the payment_method from payments along with matching location from departments.,"SELECT payments.payment_method, departments.location FROM payments JOIN departments ON payments.id = departments.id;"
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the id from courses along with matching price from products.,"SELECT courses.id, products.price FROM courses JOIN products ON courses.id = products.id;"
Get the id from orders along with matching gpa from students.,"SELECT orders.id, students.gpa FROM orders JOIN students ON orders.id = students.id;"
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all price values from the products table.,SELECT price FROM products;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all id values from the departments table.,SELECT id FROM departments;
Get the name from students along with matching id from departments.,"SELECT students.name, departments.id FROM students JOIN departments ON students.id = departments.id;"
Show all price values from the products table.,SELECT price FROM products;
Show all id values from the products table.,SELECT id FROM products;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all price values from the products table.,SELECT price FROM products;
Get the category from products along with matching id from students.,"SELECT products.category, students.id FROM products JOIN students ON products.id = students.id;"
Get the stock from products along with matching id from customers.,"SELECT products.stock, customers.id FROM products JOIN customers ON products.id = customers.id;"
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all gpa values from the students table.,SELECT gpa FROM students;
Get the enrollment_date from students along with matching id from courses.,"SELECT students.enrollment_date, courses.id FROM students JOIN courses ON students.id = courses.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Get all rows from departments where location is greater than the average.,SELECT * FROM departments WHERE location > (SELECT AVG(location) FROM departments);
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all id values from the products table.,SELECT id FROM products;
Show all major values from the students table.,SELECT major FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Get the payment_date from payments along with matching salary from employees.,"SELECT payments.payment_date, employees.salary FROM payments JOIN employees ON payments.id = employees.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all location values from the departments table.,SELECT location FROM departments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Show all name values from the departments table.,SELECT name FROM departments;
Show all location values from the departments table.,SELECT location FROM departments;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from products where name is greater than the average.,SELECT * FROM products WHERE name > (SELECT AVG(name) FROM products);
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all id values from the employees table.,SELECT id FROM employees;
Show all id values from the customers table.,SELECT id FROM customers;
Show all name values from the employees table.,SELECT name FROM employees;
Show all department values from the courses table.,SELECT department FROM courses;
